Cell.Potential (V)	Cell.Current (A)
1.608458	6.050657E-006
1.607405	-1.960829E-006
1.606223	-5.521489E-006
1.605405	-0.000002851
1.604351	-4.631324E-006
1.603379	-3.741159E-006
1.602448	-0.000008192
1.601338	-3.741159E-006
1.600488	6.050657E-006
1.599386	-0.000002851
1.598463	-3.741159E-006
1.597296	0.000007831
1.596381	7.096665E-007
1.595409	1.599832E-006
1.594453	-1.804985E-007
1.593189	-1.070664E-006
1.592395	-4.631324E-006
1.59148	-7.301819E-006
1.590484	-1.264281E-005
1.589293	-9.082149E-006
1.588361	-0.000002851
1.587398	7.096665E-007
1.586515	-9.082149E-006
1.585453	-1.960829E-006
1.584327	0.00000249
1.583428	-6.411654E-006
1.582432	-3.741159E-006
1.581735	1.599832E-006
1.580391	-6.411654E-006
1.579443	-1.960829E-006
1.578617	5.160492E-006
1.577507	-5.521489E-006
1.576195	5.160492E-006
1.575393	0.00000249
1.57451	-1.960829E-006
1.573522	0.00000249
1.572461	-0.000002851
1.571367	3.380162E-006
1.570468	-3.741159E-006
1.569496	-6.411654E-006
1.568751	-1.070664E-006
1.567422	-0.000002851
1.56645	-0.000002851
1.565583	-0.000002851
1.564757	-5.521489E-006
1.563267	-0.000008192
1.562465	-1.442314E-005
1.561557	4.270327E-006
1.560496	-4.631324E-006
1.559419	1.599832E-006
1.558423	-6.411654E-006
1.557434	-1.442314E-005
1.556576	-5.521489E-006
1.555296	-3.741159E-006
1.554243	-1.960829E-006
1.553473	-4.631324E-006
1.552518	1.599832E-006
1.551416	-1.804985E-007
1.550411	-5.521489E-006
1.549415	-3.741159E-006
1.548532	-1.960829E-006
1.547665	3.380162E-006
1.546426	0.00000249
1.545495	-0.000002851
1.544604	-1.264281E-005
1.543712	-4.631324E-006
1.542457	3.380162E-006
1.541428	-1.264281E-005
1.540561	-1.070664E-006
1.539549	-1.960829E-006
1.538277	4.270327E-006
1.537362	7.096666E-007
1.536584	-1.086248E-005
1.535539	-6.411654E-006
1.534235	-1.79838E-005
1.533385	-1.264281E-005
1.532445	-5.521489E-006
1.531562	-9.972314E-006
1.530436	-1.53133E-005
1.529383	-1.53133E-005
1.528468	-6.411654E-006
1.527552	-3.741159E-006
1.526718	-1.070664E-006
1.525543	-1.442314E-005
1.524418	0.00000249
1.523664	-5.521489E-006
1.52253	-6.411654E-006
1.521396	-1.175264E-005
1.520432	-1.086248E-005
1.519484	1.599832E-006
1.518658	-9.082149E-006
1.517395	-5.521489E-006
1.516447	-1.264281E-005
1.515515	-7.301819E-006
1.514543	-4.631324E-006
1.513433	-9.082149E-006
1.512308	-9.082149E-006
1.511457	-1.53133E-005
1.510517	-1.804985E-007
1.509699	-1.070664E-006
1.508338	-3.741159E-006
1.507407	-1.175264E-005
1.506637	-6.411654E-006
1.505584	-4.631324E-006
1.504394	0.00000249
1.503454	-1.79838E-005
1.502547	-0.000008192
1.501599	-1.709363E-005
1.500262	-0.000013533
1.499315	-1.264281E-005
1.498496	-0.000013533
1.497622	-6.411654E-006
1.49669	-1.070664E-006
1.49524	-5.521489E-006
1.494382	-0.000013533
1.493466	0.00000249
1.492462	-0.000024215
1.491352	-1.175264E-005
1.490315	-1.442314E-005
1.489562	-7.301819E-006
1.488412	-0.000008192
1.487197	-1.620347E-005
1.4865	7.096666E-007
1.485244	-6.411654E-006
1.484645	3.380162E-006
1.483341	-9.972314E-006
1.482417	-9.082149E-006
1.481462	-1.086248E-005
1.480708	-3.741159E-006
1.479072	-1.53133E-005
1.478246	-1.086248E-005
1.477257	-9.082149E-006
1.476277	-1.264281E-005
1.475524	-5.521489E-006
1.474309	-1.086248E-005
1.473361	-1.976413E-005
1.472527	-1.79838E-005
1.471701	-9.972314E-006
1.470356	0.00000249
